# os:     macos-latest
# arch:   arm64
# kernel: Darwin 24.6.0 arm64
# go:     go version go1.25.7 darwin/arm64
# sha:    070c4ccc4df3c07e540d705572d74b36edd3a60c
# ref:    refs/heads/main
# date:   2026-03-15T07:28:12Z
BenchmarkKeyEncode_DirectAppend-3   	642588417	         3.723 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_DirectAppend-3   	681546709	         3.655 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_DirectAppend-3   	674348067	         3.827 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_DirectAppend-3   	641053393	         4.005 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_DirectAppend-3   	632599846	         3.757 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_UnderLimit-3   	61370348	        44.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_UnderLimit-3   	45010092	        44.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_UnderLimit-3   	58036254	        45.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_UnderLimit-3   	50987662	        41.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_UnderLimit-3   	70452595	        31.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_UnderLimit-3   	100000000	        35.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-3    	1000000000	         1.397 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-3    	1000000000	         1.203 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-3    	1000000000	         1.204 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-3    	1000000000	         1.194 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-3    	1000000000	         1.174 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-3    	1000000000	         1.212 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-3        	1000000000	         2.139 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-3        	1000000000	         2.190 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-3        	1000000000	         2.050 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-3        	1000000000	         2.112 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-3        	1000000000	         2.252 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-3        	1000000000	         2.350 ns/op	       0 B/op	       0 allocs/op
