# os:     windows-latest
# arch:   amd64
# kernel: MINGW64_NT-10.0-26100 3.6.6-1cdd4371.x86_64 x86_64
# go:     go version go1.25.7 windows/amd64
# sha:    070c4ccc4df3c07e540d705572d74b36edd3a60c
# ref:    refs/heads/main
# date:   2026-03-15T07:22:41Z
BenchmarkRateSampler_UnderLimit-4   	98518527	        22.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_UnderLimit-4   	100000000	        20.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_UnderLimit-4   	79677306	        38.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_UnderLimit-4   	62387727	        42.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_UnderLimit-4   	49438460	        47.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-4    	760306428	         3.285 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-4    	711773534	         3.322 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-4    	710434777	         3.256 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-4    	721208889	         3.272 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-4    	739519848	         3.329 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-4    	962322346	         2.361 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-4        	596093648	         4.030 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-4        	566189832	         4.041 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-4        	597474772	         4.041 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-4        	594480692	         4.034 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-4        	593946790	         4.038 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-4        	593677189	         4.064 ns/op	       0 B/op	       0 allocs/op
